지역코드,건물명,주소,층,거래일,거래금액,면적,건축년도,평,보증금,월세
11500,대명투웨니퍼스트, 염창동 283-3,3층,2020 2 4,500/55,15.04,2012,4.5,500,55
11500,팔레시움, 염창동 283-2,8층,2020 2 4,"2,000/40",18.14,2012,5.5,"2,000",40
11500,한빛어반뉴스토리, 염창동 266-12,6층,2020 2 4,"23,000/0",28.69,2018,8.7,"23,000",0
11500,한빛어반뉴스토리, 염창동 266-12,7층,2020 2 4,"21,000/0",28.69,2018,8.7,"21,000",0
11500,대명투웨니퍼스트, 염창동 283-3,5층,2020 2 5,"13,000/0",15.04,2012,4.5,"13,000",0
11500,염창투웨니퍼스트, 염창동 262,6층,2020 2 5,"25,000/0",28.57,2019,8.6,"25,000",0
11500,한빛어반뉴스토리, 염창동 266-12,7층,2020 2 5,"21,000/0",28.69,2018,8.7,"21,000",0
11500,한빛어반뉴스토리, 염창동 266-12,10층,2020 2 6,"21,000/0",28.69,2018,8.7,"21,000",0
11500,맥시하우스, 염창동 241-11,6층,2020 2 7,"1,000/61",15.6,2018,4.7,"1,000",61
11500,한빛어반뉴스토리, 염창동 266-12,10층,2020 2 7,"2,000/78",28.69,2018,8.7,"2,000",78
11500,그린뷰, 염창동 261-12,9층,2020 2 7,"16,500/0",19.9,2018,6.0,"16,500",0
11500,한빛어반뉴스토리, 염창동 266-12,6층,2020 2 7,"21,000/0",28.69,2018,8.7,"21,000",0
11500,그린뷰, 염창동 261-12,4층,2020 2 7,"1,000/50",16.31,2018,4.9,"1,000",50
